index,binder_name,page_number,slot_number,card_id,card_name,set_name,card_market_value
211,2,1,1,base4-1,UNKNOWN,Base Set 2,37.01
212,2,1,2,base4-2,UNKNOWN,Base Set 2,104.69
213,2,1,3,base4-3,UNKNOWN,Base Set 2,14.71
214,2,1,4,base4-4,UNKNOWN,Base Set 2,304.88
215,2,1,5,base4-5,UNKNOWN,Base Set 2,14.02
216,2,1,6,base4-6,UNKNOWN,Base Set 2,10.79
217,2,1,7,base4-7,UNKNOWN,Base Set 2,26.86
218,2,1,8,base4-8,UNKNOWN,Base Set 2,21.05
219,2,1,9,base4-9,UNKNOWN,Base Set 2,12.13
221,2,2,1,base4-10,UNKNOWN,Base Set 2,40.96
222,2,2,2,base4-11,UNKNOWN,Base Set 2,24.13
223,2,2,3,base4-12,UNKNOWN,Base Set 2,22.99
224,2,2,4,base4-13,UNKNOWN,Base Set 2,21.31
225,2,2,5,base4-14,UNKNOWN,Base Set 2,27.41
226,2,2,6,base4-15,UNKNOWN,Base Set 2,13.35
227,2,2,7,base4-16,UNKNOWN,Base Set 2,33.18
228,2,2,8,base4-17,UNKNOWN,Base Set 2,24.6
229,2,2,9,base4-18,UNKNOWN,Base Set 2,73.77
231,2,3,1,base4-19,UNKNOWN,Base Set 2,11.0
232,2,3,2,base4-20,UNKNOWN,Base Set 2,24.31
233,2,3,3,base4-21,UNKNOWN,Base Set 2,1.96
234,2,3,4,base4-22,UNKNOWN,Base Set 2,8.65
235,2,3,5,base4-23,UNKNOWN,Base Set 2,3.3
236,2,3,6,base4-24,UNKNOWN,Base Set 2,3.19
237,2,3,7,base4-25,UNKNOWN,Base Set 2,3.83
238,2,3,8,base4-26,UNKNOWN,Base Set 2,3.15
239,2,3,9,base4-27,UNKNOWN,Base Set 2,6.03
241,2,4,1,base4-28,UNKNOWN,Base Set 2,3.82
242,2,4,2,base4-29,UNKNOWN,Base Set 2,3.35
243,2,4,3,base4-30,UNKNOWN,Base Set 2,9.3
244,2,4,4,base4-31,UNKNOWN,Base Set 2,3.34
245,2,4,5,base4-32,UNKNOWN,Base Set 2,2.8
246,2,4,6,base4-33,UNKNOWN,Base Set 2,2.08
247,2,4,7,base4-34,UNKNOWN,Base Set 2,1.59
248,2,4,8,base4-35,UNKNOWN,Base Set 2,1.73
249,2,4,9,base4-36,UNKNOWN,Base Set 2,1.23
251,2,5,1,base4-37,UNKNOWN,Base Set 2,1.8
252,2,5,2,base4-38,UNKNOWN,Base Set 2,1.01
253,2,5,3,base4-39,UNKNOWN,Base Set 2,1.18
254,2,5,4,base4-40,UNKNOWN,Base Set 2,0.5
255,2,5,5,base4-41,UNKNOWN,Base Set 2,1.32
256,2,5,6,base4-42,UNKNOWN,Base Set 2,1.21
257,2,5,7,base4-43,UNKNOWN,Base Set 2,0.85
258,2,5,8,base4-44,UNKNOWN,Base Set 2,3.58
259,2,5,9,base4-45,UNKNOWN,Base Set 2,0.6
261,2,6,1,base4-46,UNKNOWN,Base Set 2,1.23
262,2,6,2,base4-47,UNKNOWN,Base Set 2,0.71
263,2,6,3,base4-48,UNKNOWN,Base Set 2,1.25
264,2,6,4,base4-49,UNKNOWN,Base Set 2,0.54
265,2,6,5,base4-50,UNKNOWN,Base Set 2,0.9
266,2,6,6,base4-51,UNKNOWN,Base Set 2,1.09
267,2,6,7,base4-52,UNKNOWN,Base Set 2,1.87
268,2,6,8,base4-53,UNKNOWN,Base Set 2,0.62
269,2,6,9,base4-54,UNKNOWN,Base Set 2,1.55
271,2,7,1,base4-55,UNKNOWN,Base Set 2,0.9
272,2,7,2,base4-56,UNKNOWN,Base Set 2,1.7
273,2,7,3,base4-57,UNKNOWN,Base Set 2,0.92
274,2,7,4,base4-58,UNKNOWN,Base Set 2,0.9
275,2,7,5,base4-59,UNKNOWN,Base Set 2,1.79
276,2,7,6,base4-60,UNKNOWN,Base Set 2,0.59
277,2,7,7,base4-61,UNKNOWN,Base Set 2,0.58
278,2,7,8,base4-62,UNKNOWN,Base Set 2,2.96
279,2,7,9,base4-63,UNKNOWN,Base Set 2,1.74
281,2,8,1,base4-64,UNKNOWN,Base Set 2,1.23
282,2,8,2,base4-65,UNKNOWN,Base Set 2,0.42
283,2,8,3,base4-66,UNKNOWN,Base Set 2,0.44
284,2,8,4,base4-67,UNKNOWN,Base Set 2,2.22
285,2,8,5,base4-68,UNKNOWN,Base Set 2,0.43
286,2,8,6,base4-69,UNKNOWN,Base Set 2,1.2
287,2,8,7,base4-70,UNKNOWN,Base Set 2,0.81
288,2,8,8,base4-71,UNKNOWN,Base Set 2,0.38
289,2,8,9,base4-72,UNKNOWN,Base Set 2,0.44
291,2,9,1,base4-73,UNKNOWN,Base Set 2,0.44
292,2,9,2,base4-74,UNKNOWN,Base Set 2,0.51
293,2,9,3,base4-75,UNKNOWN,Base Set 2,0.47
294,2,9,4,base4-76,UNKNOWN,Base Set 2,0.38
295,2,9,5,base4-77,UNKNOWN,Base Set 2,0.73
296,2,9,6,base4-78,UNKNOWN,Base Set 2,0.41
297,2,9,7,base4-79,UNKNOWN,Base Set 2,0.38
298,2,9,8,base4-80,UNKNOWN,Base Set 2,0.54
